funding_total_usd ;market ;funding_rounds;seed;venture;equity_crowdfunding;undisclosed;debt_financing;angel;grant;private_equity;post_ipo_equity;post_ipo_debt;secondary_market;product_crowdfunding;round_A;round_B;round_C;round_D;round_E;round_F;round_G;round_H;Status;firm_age
1.60E+07;Services ;1;0;16000000;0;0;0;0;0;0;0;0;0;0;0;16000000;0;0;0;0;0;0;1;13
25000;Bitcoin ;1;25000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
1600000;Mobile ;1;0;0;0;0;1600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
500000;Electronic Health Records ;2;250000;0;0;0;0;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
5740000;Customer Service ;2;0;4200000;0;0;0;0;0;0;0;0;0;0;0;4200000;0;0;0;0;0;0;1;20
1465000;Biotechnology ;1;1465000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
28000;Enterprise Software ;1;28000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
503000;Games ;2;0;503000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
1200000;3D ;2;350000;0;0;0;0;850000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
3.50E+07;Drones ;3;0;35000000;0;0;0;0;0;0;0;0;0;0;5000000;30000000;0;0;0;0;0;0;1;16
909940;Software ;3;0;909940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
150000;Hardware + Software ;1;0;150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
400000;E-Commerce ;1;0;400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
1250000;E-Commerce ;1;0;0;0;0;0;1250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28
750000;Health and Wellness ;1;750000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
2.00E+07;Music ;1;0;20000000;0;0;0;0;0;0;0;0;0;0;20000000;0;0;0;0;0;0;0;1;22
4000000;Messaging ;1;0;4000000;0;0;0;0;0;0;0;0;0;0;4000000;0;0;0;0;0;0;0;1;20
6.50E+07;Web Hosting ;3;0;65000000;0;0;0;0;0;0;0;0;0;0;10000000;20000000;35000000;0;0;0;0;0;1;21
2.59E+07;Software ;4;0;22520000;0;0;3400000;0;0;0;0;0;0;0;12000000;0;0;0;0;0;0;0;1;19
1011601;Software ;3;50000;961601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
390000;Biotechnology ;3;40000;0;0;0;0;0;350000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
2000000;Software ;1;2000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
1000000;Software ;1;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1.50E+07;Clean Technology ;3;0;15000000;0;0;0;0;0;0;0;0;0;0;0;2000000;0;0;0;0;0;0;1;26
5.66E+07;Security ;6;0;53000000;0;0;3567194;0;0;0;0;0;0;0;5000000;10000000;9000000;12000000;17000000;0;0;0;1;23
3393925;Flash Storage ;2;0;3393925;0;0;0;0;0;0;0;0;0;0;1700000;0;0;0;0;0;0;0;1;18
2234979;E-Commerce ;5;25000;1959979;0;0;250000;0;0;0;0;0;0;0;1000000;0;0;0;0;0;0;0;1;16
81000;Machine Learning ;1;0;81000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
1050000;Entrepreneur ;3;1050000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
750000;Messaging ;1;0;750000;0;0;0;0;0;0;0;0;0;0;750000;0;0;0;0;0;0;0;1;15
3.81E+07;Security ;4;0;38064570;0;0;0;0;0;0;0;0;0;0;0;11200000;10070000;13000000;0;0;0;0;1;21
800000;Enterprise Software ;2;800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1000000;Software ;1;0;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21
1.74E+07;Commercial Real Estate ;4;400000;17000000;0;0;0;0;0;0;0;0;0;0;5000000;12000000;0;0;0;0;0;0;1;14
3.80E+07;Biotechnology ;3;0;32956999;0;0;5000000;0;0;0;0;0;0;0;15000000;0;0;0;0;0;0;0;1;14
20900;Clean Technology ;1;20900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20
3378975;Mobile ;1;0;0;0;0;0;0;0;3378975;0;0;0;0;0;0;0;0;0;0;0;0;1;20
9416354;Cloud Computing ;6;0;9146354;0;0;0;0;0;0;0;0;0;0;2850000;1000000;500000;0;0;0;0;0;1;19
7.03E+07;Advertising ;8;0;64288000;0;0;6000000;0;0;0;0;0;0;0;0;0;8000000;24000000;8000000;0;0;0;1;21
6.00E+07;Hardware + Software ;4;0;60000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20
50000;Kids ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
7000000;Biotechnology ;1;0;0;0;0;0;0;0;7000000;0;0;0;0;0;0;0;0;0;0;0;0;1;14
250000;Software ;1;0;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21
440000;Software ;2;0;0;0;0;0;440000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
180000;Consumer Electronics ;1;0;0;180000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1.29E+07;E-Commerce ;6;1400000;9500000;0;0;2000000;0;0;0;0;0;0;0;4500000;5000000;0;0;0;0;0;0;1;15
6100000;Technology ;2;0;0;0;0;0;0;0;0;6100000;0;0;0;0;0;0;0;0;0;0;0;1;17
1.28E+07;Video ;3;0;12500000;0;0;0;300000;0;0;0;0;0;0;5000000;7500000;0;0;0;0;0;0;1;18
50000;Software ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
250000;Distribution ;1;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
7000000;Mobile ;1;0;7000000;0;0;0;0;0;0;0;0;0;0;7000000;0;0;0;0;0;0;0;1;17
3000000;Mobile Games ;1;0;3000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
1.71E+07;Internet Marketing ;4;0;15302260;0;0;1827500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
100000;Curated Web ;1;0;0;0;0;0;100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
3050000;Software ;3;2700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
2000000;Web Hosting ;1;0;2000000;0;0;0;0;0;0;0;0;0;0;2000000;0;0;0;0;0;0;0;1;16
2.53E+07;Enterprise Software ;5;0;10700000;0;0;14550000;0;0;0;0;0;0;0;3000000;7000000;0;0;0;0;0;0;1;17
1.20E+07;Predictive Analytics ;2;0;12000000;0;0;0;0;0;0;0;0;0;0;12000000;0;0;0;0;0;0;0;1;12
6700000;Software ;2;0;6700000;0;0;0;0;0;0;0;0;0;0;5000000;0;0;0;0;0;0;0;1;21
6528902;E-Commerce ;3;3800000;2368902;0;0;360000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
1613014;Biotechnology ;1;0;1613014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28
2450000;Small and Medium Businesses ;5;450000;0;0;0;0;2000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
1500000;Manufacturing ;1;0;0;0;0;1500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1.11E+07;Clean Technology ;5;0;9400000;0;0;1710000;0;0;0;0;0;0;0;0;4500000;0;0;0;0;0;0;1;16
460775;Software ;2;0;460775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
9850000;Web Hosting ;4;0;9850000;0;0;0;0;0;0;0;0;0;0;5600000;4000000;0;0;0;0;0;0;1;19
600000;SEO ;2;600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
100000;E-Commerce ;1;0;100000;0;0;0;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;0;1;13
5100000;Health and Wellness ;1;0;5100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
2.70E+07;Digital Entertainment ;2;2000000;25000000;0;0;0;0;0;0;0;0;0;0;25000000;0;0;0;0;0;0;0;1;13
1.56E+07;E-Commerce ;3;0;15000000;0;0;0;590000;0;0;0;0;0;0;5000000;10000000;0;0;0;0;0;0;1;17
2779980;Music ;2;1500000;1279980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
4500000;Consulting ;2;0;0;0;0;0;4500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1.77E+07;Manufacturing ;3;0;15100000;0;0;0;0;2600000;0;0;0;0;0;8100000;7000000;0;0;0;0;0;0;1;13
3.50E+07;Design ;1;0;35000000;0;0;0;0;0;0;0;0;0;0;35000000;0;0;0;0;0;0;0;1;17
4100000;SaaS ;2;0;4100000;0;0;0;0;0;0;0;0;0;0;4100000;0;0;0;0;0;0;0;1;14
900000;Software ;1;900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
925000;Enterprise Software ;2;500000;0;0;0;425000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
435400;Software ;1;0;0;0;435400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23
3500000;Mobile Payments ;1;0;0;0;0;0;3500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
500000;Health and Wellness ;1;0;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
7550000;Mobile ;2;0;7550000;0;0;0;0;0;0;0;0;0;0;3500000;4050000;0;0;0;0;0;0;1;20
20000;Business Productivity ;1;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1.18E+08;Communications Hardware ;4;0;38000000;0;0;0;0;0;80000000;0;0;0;0;6000000;9000000;23000000;0;0;0;0;0;1;21
5.03E+08;Batteries ;8;0;251000000;0;0;0;0;251860000;0;0;0;0;0;32000000;30000000;40000000;30000000;69000000;0;0;0;1;24
350000;Music ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25
500000;Biotechnology ;1;0;0;0;0;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
6000000;Search ;2;0;5250000;0;0;0;750000;0;0;0;0;0;0;5250000;0;0;0;0;0;0;0;1;18
2.00E+07;Human Resources ;1;0;0;0;0;0;0;0;20000000;0;0;0;0;0;0;0;0;0;0;0;0;1;19
500000;Analytics ;1;0;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25
3500000;Software ;1;3500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
4211031;Clean Technology ;6;2781795;1276036;0;0;153200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
825000;Advertising Platforms ;1;0;825000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
4400000;Curated Web ;2;0;4100000;0;0;300000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28
875000;E-Commerce ;5;775000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1.91E+07;E-Commerce ;5;0;18400000;748000;0;0;0;0;0;0;0;0;0;3400000;5000000;0;0;0;0;0;0;1;16
4350000;Biotechnology ;2;750000;3600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
3.96E+07;Biotechnology ;3;0;39610000;0;0;0;0;0;0;0;0;0;0;16850000;0;0;0;0;0;0;0;1;25
2250180;Biotechnology ;1;2250180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
60000;Fashion ;1;0;0;60000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
1500000;Health Care ;1;1500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
5.83E+08;Health Care ;4;0;33000000;0;0;0;0;0;550000000;0;0;0;0;0;0;27000000;0;0;0;0;0;1;25
9000000;Health Care ;2;0;9000000;0;0;0;0;0;0;0;0;0;0;3000000;6000000;0;0;0;0;0;0;1;17
6467283;Curated Web ;1;0;6467283;0;0;0;0;0;0;0;0;0;0;6467283;0;0;0;0;0;0;0;1;17
1.41E+07;Cloud Infrastructure ;4;0;14130737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
500000;Accounting ;1;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27
150000;Sales and Marketing ;1;0;0;0;0;150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
2.59E+07;Biotechnology ;5;5000;14875077;0;0;11050500;0;0;0;0;0;0;0;5300000;9575077;0;0;0;0;0;0;1;14
1.20E+07;Hardware + Software ;5;0;12005448;0;0;0;0;0;0;0;0;0;0;0;5324000;0;0;0;0;0;0;1;20
1273000;Software ;1;0;1273000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
5.10E+08;Solar ;2;0;0;0;0;0;0;400000000;110000000;0;0;0;0;0;0;0;0;0;0;0;0;1;18
1.71E+07;Identity Management ;3;0;17087500;0;0;0;0;0;0;0;0;0;0;5675000;11000000;0;0;0;0;0;0;1;12
4139407;Curated Web ;5;145400;3594003;0;0;400004;0;0;0;0;0;0;0;1800000;0;0;0;0;0;0;0;1;15
7618249;Curated Web ;3;0;7618249;0;0;0;0;0;0;0;0;0;0;2500000;0;0;0;0;0;0;0;1;19
2100000;Software ;1;0;2100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23
450000;Software ;1;0;450000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
960000;Health and Wellness ;3;0;960000;0;0;0;0;0;0;0;0;0;0;400000;0;0;0;0;0;0;0;1;15
50000;Education ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
132500;Health Care ;1;0;132500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
2757346;Software ;3;0;1257346;0;0;1500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
4250000;Clean Technology ;2;0;4250000;0;0;0;0;0;0;0;0;0;0;250000;4000000;0;0;0;0;0;0;1;17
200000;Software ;1;200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
2.84E+07;Health Care ;10;0;25013808;0;1000000;2351010;0;0;0;0;0;0;0;9000000;0;6000000;0;0;0;0;0;1;19
15000;Apps ;1;15000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
2.30E+07;Web Hosting ;2;0;20000000;0;0;3000000;0;0;0;0;0;0;0;20000000;0;0;0;0;0;0;0;1;16
762000;Software ;1;762000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
2338650;Health and Wellness ;1;0;2338650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
2.45E+08;Finance ;2;0;19600000;0;0;0;0;0;225000000;0;0;0;0;0;0;0;0;0;0;0;0;1;33
1.78E+07;Social Media ;4;600000;15600000;0;0;0;1600000;0;0;0;0;0;0;4500000;11100000;0;0;0;0;0;0;1;17
1.00E+07;Advertising ;1;0;10000000;0;0;0;0;0;0;0;0;0;0;10000000;0;0;0;0;0;0;0;1;21
4000000;Finance ;1;0;4000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
2.55E+07;E-Commerce ;1;0;25478613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23
5.00E+07;Software ;2;0;50000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26
430000;Biotechnology ;1;0;0;0;0;430000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20
6.30E+07;Medical Devices ;4;0;18016244;0;0;0;0;0;45000000;0;0;0;0;0;0;0;0;0;0;0;0;1;21
150000;Mobile ;1;0;150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
3255325;Software ;2;0;3255325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28
8500000;Analytics ;2;0;8500000;0;0;0;0;0;0;0;0;0;0;6000000;0;0;0;0;0;0;0;1;14
4045500;Enterprise Software ;3;0;1045500;0;0;3000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20
1.14E+08;Biotechnology ;6;0;112201127;0;0;0;0;1500000;0;0;0;0;0;0;30000000;31000000;0;0;30000000;0;0;1;21
457282;Finance ;7;18000;150000;0;0;235000;0;54282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
5705841;Software ;3;0;4605841;0;0;1100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24
1.34E+07;Enterprise Software ;2;1410901;12000000;0;0;0;0;0;0;0;0;0;0;0;0;12000000;0;0;0;0;0;1;26
2.85E+07;Transportation ;2;0;28500000;0;0;0;0;0;0;0;0;0;0;0;28500000;0;0;0;0;0;0;1;19
2.50E+07;Cloud Management ;2;0;25000000;0;0;0;0;0;0;0;0;0;0;7000000;18000000;0;0;0;0;0;0;1;18
4000000;Health and Wellness ;1;0;0;0;0;0;0;0;4000000;0;0;0;0;0;0;0;0;0;0;0;0;1;15
775000;Health and Wellness ;2;0;775000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23
1500000;Software ;1;0;0;0;0;1500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28
2.53E+07;Career Management ;4;0;25305000;0;0;0;0;0;0;0;0;0;0;1055000;17000000;3000000;0;0;0;0;0;1;23
3020000;Software ;3;20000;3000000;0;0;0;0;0;0;0;0;0;0;3000000;0;0;0;0;0;0;0;1;14
1.39E+08;Biotechnology ;5;0;59500000;0;0;0;0;0;79081610;0;0;0;0;6000000;7500000;35000000;11000000;0;0;0;0;1;24
7131124;Security ;3;0;7131124;0;0;0;0;0;0;0;0;0;0;4000000;2431124;0;0;0;0;0;0;1;18
1.38E+07;Health Care ;3;0;13793098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23
3.00E+07;Security ;1;0;30000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
4.69E+07;Health Care ;1;0;0;0;0;0;0;0;46900000;0;0;0;0;0;0;0;0;0;0;0;0;1;28
352500;Mobile ;2;240000;112500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
3200000;Advertising ;2;0;1700000;0;0;1500000;0;0;0;0;0;0;0;1700000;0;0;0;0;0;0;0;1;17
1999998;Services ;1;0;1999998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26
250000;Biotechnology ;1;0;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
2.14E+07;Health Care ;6;0;20626001;0;0;750000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21
2.00E+07;Sales and Marketing ;2;0;20000000;0;0;0;0;0;0;0;0;0;0;0;8000000;12000000;0;0;0;0;0;1;22
2800000;Nonprofits ;1;0;0;0;0;0;0;2800000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31
4979639;Analytics ;4;0;4078719;0;0;900920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23
90000;Recruiting ;2;90000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
3.33E+07;Semiconductors ;3;0;33331814;0;0;0;0;0;0;0;0;0;0;0;0;9996147;12191919;11143748;0;0;0;1;31
5.37E+07;Healthcare Services ;4;0;49744444;0;0;4000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
2.06E+07;3D ;2;0;20600000;0;0;0;0;0;0;0;0;0;0;5600000;15000000;0;0;0;0;0;0;1;12
1200000;Biotechnology ;1;0;1200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
3.41E+07;Finance ;4;0;34072000;0;0;0;0;0;0;0;0;0;0;3500000;5000000;12750000;0;0;0;0;0;1;22
3.20E+07;Enterprise Software ;2;0;32000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30
3315000;Software ;1;0;3315000;0;0;0;0;0;0;0;0;0;0;3315000;0;0;0;0;0;0;0;1;25
1000000;Biotechnology ;1;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24
1.20E+07;Biotechnology ;3;0;12024769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
650000;Software ;1;0;650000;0;0;0;0;0;0;0;0;0;0;650000;0;0;0;0;0;0;0;1;33
760000;Health and Wellness ;1;760000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
