"funding_total_usd ";"name";"market ";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"60000";"-R- Ranch and Mine";"Tourism ";2;2014-01-01 00:00:00;2014-08-17 00:00:00;0
"2050000";"10-20 Media";"E-Commerce ";4;2001-01-01 00:00:00;2009-06-18 00:00:00;0
"40000";"1000 Corks";"Search ";1;2008-01-01 00:00:00;2011-08-23 00:00:00;0
"2535000";"1000memories";"Curated Web ";2;2010-07-01 00:00:00;2010-01-01 00:00:00;0
"4962651";"1000museums.com";"Curated Web ";6;2008-01-01 00:00:00;2009-10-14 00:00:00;0
"420000";"100health";"Health Care Information Technology ";1;2014-07-04 00:00:00;2014-11-26 00:00:00;0
"1250000";"100Plus";"Analytics ";2;2011-09-16 00:00:00;2011-11-02 00:00:00;0
"35000000";"1010data";"Software ";1;2000-01-01 00:00:00;2010-03-08 00:00:00;0
"50000";"10BestThings";"Curated Web ";1;2009-04-01 00:00:00;2009-04-01 00:00:00;1
"3000000";"10X Technologies";"Biotechnology ";1;2012-01-01 00:00:00;2012-11-07 00:00:00;0
"77500";"10X10 Room";"Software ";1;2010-01-01 00:00:00;2011-10-12 00:00:00;0
"794000";"121nexus";"Pharmaceuticals ";6;2011-10-07 00:00:00;2012-02-06 00:00:00;0
"66450000";"1366 Technologies";"Manufacturing ";8;2007-01-01 00:00:00;2008-03-27 00:00:00;0
"5500000";"140 Proof";"Advertising ";2;2010-01-11 00:00:00;2009-07-01 00:00:00;0
"500000";"140Fire";"Entertainment ";1;2010-01-01 00:00:00;2010-05-05 00:00:00;0
"3400000";"15Five";"Software ";3;2011-05-01 00:00:00;2012-01-01 00:00:00;0
"199957";"16 Mile Solutions";"Software ";1;2006-01-01 00:00:00;2009-06-11 00:00:00;0
"50000";"169 ST.";"Games ";1;2009-05-15 00:00:00;2009-06-01 00:00:00;0
"50000";"1DayMakeover";"E-Commerce ";1;2008-06-30 00:00:00;2008-06-30 00:00:00;1
"1450000";"1Energy Systems";"Software ";1;2010-01-01 00:00:00;2013-04-22 00:00:00;0
"30000000";"1Life Healthcare";"Health and Wellness ";1;2002-01-01 00:00:00;2013-03-21 00:00:00;0
"500000";"1Mind";"Social Media ";1;2011-01-01 00:00:00;2013-08-05 00:00:00;0
"30000";"1spire";"Manufacturing ";1;2011-10-01 00:00:00;2011-12-20 00:00:00;0
"117000000";"1stdibs";"E-Commerce ";4;2001-01-01 00:00:00;2011-11-03 00:00:00;0
"750000";"1stGig.com";"E-Commerce ";1;2009-08-01 00:00:00;2012-10-01 00:00:00;0
"1500000";"1World Online";"Enterprise Software ";2;2011-12-01 00:00:00;2013-07-02 00:00:00;0
"150000";"20/20 Gene Systems Inc.";"Biotechnology ";1;2000-05-01 00:00:00;2012-09-25 00:00:00;0
"41000000";"2080 Media";"News ";5;2008-01-01 00:00:00;2010-08-05 00:00:00;0
"2800000";"20x200";"Art ";2;2007-09-01 00:00:00;2009-10-01 00:00:00;0
"5050000";"2.10E+07";"Big Data ";1;2013-01-01 00:00:00;2013-11-17 00:00:00;0
"15034750";"22nd Century Group";"Biotechnology ";6;1998-01-01 00:00:00;2010-12-28 00:00:00;0
"111949900";"23andMe";"Biotechnology ";6;2006-04-01 00:00:00;2007-05-01 00:00:00;0
"400000";"24Fundraiser.com";"Social Fundraising ";1;2007-08-01 00:00:00;2014-05-01 00:00:00;0
"16000000";"24M Technologies";"Clean Technology ";1;2010-01-01 00:00:00;2010-08-16 00:00:00;0
"50000";"24PageBooks";"Software ";1;2010-01-01 00:00:00;2011-05-24 00:00:00;1
"200000";"250ok";"Software ";1;2012-01-01 00:00:00;2012-09-01 00:00:00;0
"118000";"27 Perry";"E-Commerce ";1;2012-07-25 00:00:00;2012-05-17 00:00:00;1
"5844811";"28msec";"Software ";1;2008-01-01 00:00:00;2013-10-28 00:00:00;0
"250000";"2DOLife.com";"Software ";1;2011-12-01 00:00:00;2013-11-10 00:00:00;0
"275000";"2GO Mobile Solutions";"Software ";1;2008-01-01 00:00:00;2010-04-09 00:00:00;0
"85000000";"2nd Story Software, Inc.";"Software ";1;1998-02-15 00:00:00;2005-03-30 00:00:00;0
"37644420";"2nd Watch";"Corporate IT ";4;2010-01-01 00:00:00;2011-12-06 00:00:00;0
"58000";"2NGageU";"Mobile Social ";1;2011-12-26 00:00:00;2012-04-12 00:00:00;0
"6000";"2Nite2Nite.net";"Advertising ";1;2013-09-13 00:00:00;2014-09-13 00:00:00;0
"95875000";"2U";"Software ";6;2008-01-01 00:00:00;2009-03-25 00:00:00;0
"78089000";"3-V Biosciences";"Biotechnology ";4;2007-03-01 00:00:00;2009-07-10 00:00:00;0
"25000";"30 Second Showcase";"Photography ";1;2013-04-01 00:00:00;2013-05-20 00:00:00;0
"500000";"312 Capital";"Finance ";1;2013-01-23 00:00:00;2014-09-16 00:00:00;0
"25654560";"33Across";"Advertising ";5;2007-09-01 00:00:00;2009-02-06 00:00:00;0
"17800000";"360fly, Inc.";"Consumer Electronics ";1;1998-01-01 00:00:00;2014-08-11 00:00:00;0
"1000000";"360imaging";"Biotechnology ";2;2005-01-01 00:00:00;2011-11-01 00:00:00;0
"16000000";"365 Data Centers";"Services ";1;2012-01-01 00:00:00;2014-09-10 00:00:00;0
"25000";"37coins";"Bitcoin ";1;2014-01-01 00:00:00;2014-03-15 00:00:00;0
"1600000";"382 Communications";"Mobile ";1;2010-01-01 00:00:00;2012-01-13 00:00:00;0
"500000";"3ClickEMR Corporation";"Electronic Health Records ";2;2010-06-23 00:00:00;2010-06-23 00:00:00;1
"5740000";"3CLogic";"Customer Service ";2;2005-01-01 00:00:00;2013-01-14 00:00:00;0
"1465000";"3D Biomatrix";"Biotechnology ";1;2010-01-01 00:00:00;2013-02-05 00:00:00;0
"28000";"3D Control Systems";"Enterprise Software ";1;2013-03-01 00:00:00;2013-11-10 00:00:00;0
"503000";"3D FUTURE VISION II";"Games ";2;2011-01-01 00:00:00;2011-06-22 00:00:00;1
"1200000";"3D Industri.es";"3D ";2;2011-01-01 00:00:00;2012-03-01 00:00:00;0
"35000000";"3D Robotics";"Drones ";3;2009-01-01 00:00:00;2012-11-05 00:00:00;0
"909940";"3D Sports Technology";"Software ";3;2010-01-01 00:00:00;2011-01-21 00:00:00;0
"150000";"3d Vision Systems";"Hardware + Software ";1;2009-01-01 00:00:00;2012-12-03 00:00:00;0
"400000";"3DBin";"E-Commerce ";1;2009-02-06 00:00:00;2014-10-12 00:00:00;0
"1250000";"3dCart Shopping Cart Software";"E-Commerce ";1;1997-05-01 00:00:00;2010-01-01 00:00:00;0
"750000";"3FLOZ";"Health and Wellness ";1;2009-11-01 00:00:00;2013-08-16 00:00:00;0
"20000000";"3Guppies";"Music ";1;2003-01-01 00:00:00;2006-04-05 00:00:00;0
"4000000";"3Jam";"Messaging ";1;2005-01-01 00:00:00;2007-07-01 00:00:00;0
"65000000";"3Leaf";"Web Hosting ";3;2004-06-01 00:00:00;2005-01-01 00:00:00;0
"25920000";"3Pillar Global";"Software ";4;2006-08-01 00:00:00;2010-01-29 00:00:00;0
"1011601";"3Play Media";"Software ";3;2007-01-01 00:00:00;2010-02-08 00:00:00;0
"390000";"3Scan";"Biotechnology ";3;2011-01-01 00:00:00;2011-08-31 00:00:00;0
"2000000";"3seventy";"Software ";1;2008-01-01 00:00:00;2011-08-19 00:00:00;0
"1000000";"3TEN8";"Software ";1;2013-08-15 00:00:00;2014-09-01 00:00:00;0
"15000000";"3TIER";"Clean Technology ";3;1999-01-01 00:00:00;2007-09-05 00:00:00;0
"56567194";"3VR";"Security ";6;2002-01-01 00:00:00;2006-01-17 00:00:00;0
"3393925";"3X Systems";"Flash Storage ";2;2007-11-01 00:00:00;2008-02-20 00:00:00;0
"2234979";"4-Tell";"E-Commerce ";5;2009-04-01 00:00:00;2011-07-01 00:00:00;0
"81000";"405Labs";"Machine Learning ";1;2014-01-01 00:00:00;2014-10-22 00:00:00;0
"1050000";"40billion.com";"Entrepreneur ";3;2008-01-23 00:00:00;2008-04-01 00:00:00;0
"750000";"410 Labs";"Messaging ";1;2010-01-01 00:00:00;2011-07-11 00:00:00;0
"38064570";"41st Parameter";"Security ";4;2004-01-01 00:00:00;2006-05-08 00:00:00;0
"800000";"42";"Enterprise Software ";2;2013-01-01 00:00:00;2013-02-21 00:00:00;0
"1000000";"422 Group";"Software ";1;2004-01-01 00:00:00;2010-06-15 00:00:00;0
"17400000";"42Floors";"Commercial Real Estate ";4;2011-01-01 00:00:00;2011-09-01 00:00:00;0
"37956999";"480 Biomedical";"Biotechnology ";3;2011-01-01 00:00:00;2012-02-14 00:00:00;0
"20900";"4Cable TV";"Clean Technology ";1;2005-01-01 00:00:00;2013-10-07 00:00:00;0
"3378975";"4DK Technologies";"Mobile ";1;2005-01-01 00:00:00;2011-12-12 00:00:00;0
"9416354";"4Home";"Cloud Computing ";6;2006-01-01 00:00:00;2006-08-01 00:00:00;0
"70288000";"4INFO";"Advertising ";8;2004-01-01 00:00:00;2005-03-01 00:00:00;0
"60000000";"4moms";"Hardware + Software ";4;2005-01-01 00:00:00;2005-06-17 00:00:00;0
"50000";"4Soils";"Kids ";1;2012-01-01 00:00:00;2013-08-26 00:00:00;0
"7000000";"4Tech";"Biotechnology ";1;2011-01-01 00:00:00;2011-12-21 00:00:00;0
"250000";"5 examples";"Software ";1;2004-01-01 00:00:00;2010-07-14 00:00:00;0
"440000";"5 O'Clock Records";"Software ";2;2012-01-01 00:00:00;2012-03-29 00:00:00;0
"180000";"5 Star Mobile";"Consumer Electronics ";1;2013-07-23 00:00:00;2014-02-20 00:00:00;0
"12900000";"500Friends";"E-Commerce ";6;2010-01-01 00:00:00;2009-12-15 00:00:00;0
"6100000";"5BARz International";"Technology ";2;2008-01-01 00:00:00;2013-11-12 00:00:00;0
"12800000";"5min Media";"Video ";3;2007-01-01 00:00:00;2007-04-01 00:00:00;0
"50000";"5o9";"Software ";1;2006-01-01 00:00:00;2013-05-14 00:00:00;0
"250000";"5th Avenue Media";"Distribution ";1;2012-07-04 00:00:00;2012-09-02 00:00:00;0
"7000000";"5th Finger";"Mobile ";1;2008-01-01 00:00:00;2008-06-13 00:00:00;0
"3000000";"5th Planet Games";"Mobile Games ";1;2009-01-01 00:00:00;2014-07-16 00:00:00;0
"17129760";"5to1";"Internet Marketing ";4;2009-01-01 00:00:00;2009-06-17 00:00:00;0
"100000";"64 Pixels";"Curated Web ";1;2010-10-01 00:00:00;2010-10-01 00:00:00;0
"3050000";"640 Labs";"Software ";3;2013-01-01 00:00:00;2014-06-20 00:00:00;0
"2000000";"6connect";"Web Hosting ";1;2009-01-01 00:00:00;2011-08-23 00:00:00;0
"25250000";"6fusion";"Enterprise Software ";5;2008-01-01 00:00:00;2010-08-23 00:00:00;0
"12000000";"6Sense";"Predictive Analytics ";2;2013-01-01 00:00:00;2013-04-18 00:00:00;0
"6700000";"6th Sense Analytics";"Software ";2;2004-01-01 00:00:00;2005-11-11 00:00:00;0
"6528902";"7 Billion People";"E-Commerce ";3;2006-01-01 00:00:00;2009-02-09 00:00:00;1
"1613014";"7 Oaks Pharmaceutical";"Biotechnology ";1;1997-01-01 00:00:00;2011-06-06 00:00:00;0
"2450000";"71lbs";"Small and Medium Businesses ";5;2011-03-03 00:00:00;2012-03-20 00:00:00;0
"1500000";"79 Group";"Manufacturing ";1;2012-04-01 00:00:00;2014-07-10 00:00:00;0
"11110000";"7AC Technologies";"Clean Technology ";5;2009-01-01 00:00:00;2011-12-13 00:00:00;0
"460775";"7mb Technologies";"Software ";2;2013-01-01 00:00:00;2013-10-28 00:00:00;0
"9850000";"7signal Solutions";"Web Hosting ";4;2006-01-01 00:00:00;2011-01-01 00:00:00;0
"600000";"7Summits";"SEO ";2;2009-04-01 00:00:00;2010-01-01 00:00:00;0
"100000";"800razors";"E-Commerce ";1;2012-01-01 00:00:00;2013-02-19 00:00:00;0
"5100000";"80th Street Residence FACC Fund I";"Health and Wellness ";1;2011-01-01 00:00:00;2011-11-18 00:00:00;0
"27000000";"818 Sports & Entertainment";"Digital Entertainment ";2;2012-01-01 00:00:00;2013-03-15 00:00:00;0
"15590000";"8thBridge";"E-Commerce ";3;2008-11-01 00:00:00;2009-11-16 00:00:00;0
"2779980";"8tracks Radio";"Music ";2;2008-08-08 00:00:00;2012-10-26 00:00:00;0
"4500000";"9+";"Consulting ";2;2013-01-01 00:00:00;2013-07-11 00:00:00;0
"17700000";"908 Devices";"Manufacturing ";3;2012-01-01 00:00:00;2012-09-05 00:00:00;0
"35000000";"99designs";"Design ";1;2008-02-01 00:00:00;2011-04-28 00:00:00;0
"4100000";"9Lenses";"SaaS ";2;2011-01-01 00:00:00;2013-09-12 00:00:00;0
"900000";"9Mile Labs";"Software ";1;2013-01-01 00:00:00;2013-11-04 00:00:00;0
"925000";"9SLIDES";"Enterprise Software ";2;2010-06-01 00:00:00;2013-05-30 00:00:00;0
"435400";"9Star Research";"Software ";1;2002-01-01 00:00:00;2011-07-25 00:00:00;0
"3500000";"@Pay";"Mobile Payments ";1;2011-05-01 00:00:00;2012-07-01 00:00:00;0
"500000";"A Family First Community Services";"Health and Wellness ";1;2008-01-01 00:00:00;2011-11-01 00:00:00;0
"7550000";"A la Mobile";"Mobile ";2;2005-06-01 00:00:00;2005-07-01 00:00:00;0
"20000";"A1 Software Group";"Business Productivity ";1;2012-12-02 00:00:00;2014-10-14 00:00:00;0
"118000000";"A10 Networks";"Communications Hardware ";4;2004-10-01 00:00:00;2005-01-01 00:00:00;0
"502860000";"A123 Systems";"Batteries ";8;2001-01-01 00:00:00;2005-11-01 00:00:00;0
"350000";"AAMPP";"Music ";1;2000-05-31 00:00:00;2013-12-01 00:00:00;0
"500000";"Aarden Pharmaceuticals";"Biotechnology ";1;2008-01-01 00:00:00;2011-01-03 00:00:00;1
"6000000";"Aardvark";"Search ";2;2007-07-01 00:00:00;2007-01-01 00:00:00;0
"20000000";"Aasonn";"Human Resources ";1;2006-01-01 00:00:00;2014-06-04 00:00:00;0
"500000";"Abacast";"Analytics ";1;2000-04-02 00:00:00;2010-11-11 00:00:00;0
"3500000";"Abacus Labs";"Software ";1;2013-01-01 00:00:00;2014-10-29 00:00:00;0
"4211031";"Abakan";"Clean Technology ";6;2006-01-01 00:00:00;2012-05-10 00:00:00;0
"825000";"Abakus";"Advertising Platforms ";1;2013-01-01 00:00:00;2013-12-25 00:00:00;0
"4400000";"Abazab";"Curated Web ";2;1997-01-01 00:00:00;2006-05-05 00:00:00;0
"875000";"AbbeyPost";"E-Commerce ";5;2012-08-01 00:00:00;2013-07-30 00:00:00;0
"19148000";"Abe's Market";"E-Commerce ";5;2009-09-01 00:00:00;2010-06-29 00:00:00;0
"4350000";"Abeona Therapeutics";"Biotechnology ";2;2013-01-01 00:00:00;2013-12-16 00:00:00;0
"39610000";"AbGenomics";"Biotechnology ";3;2000-06-01 00:00:00;2012-06-19 00:00:00;0
"2250180";"Abide Therapeutics";"Biotechnology ";1;2011-01-01 00:00:00;2011-11-18 00:00:00;0
"60000";"Abigail Stewart";"Fashion ";1;2010-01-15 00:00:00;2014-02-17 00:00:00;0
"1500000";"Ability Dynamics";"Health Care ";1;2009-01-01 00:00:00;2012-02-20 00:00:00;0
"583000000";"ABILITY Network";"Health Care ";4;2000-01-01 00:00:00;2006-12-14 00:00:00;0
"9000000";"AbilTo";"Health Care ";2;2008-01-01 00:00:00;2013-05-14 00:00:00;0
"6467283";"Abine";"Curated Web ";1;2008-01-01 00:00:00;2011-07-12 00:00:00;0
"14130737";"Abiquo Group";"Cloud Infrastructure ";4;2010-01-01 00:00:00;2010-12-09 00:00:00;0
"500000";"aBIZinaBOX";"Accounting ";1;1998-08-17 00:00:00;2008-10-08 00:00:00;0
"150000";"ABL Farms";"Sales and Marketing ";1;2009-09-09 00:00:00;2013-11-11 00:00:00;0
"25930577";"Ablative Solutions";"Biotechnology ";5;2011-01-01 00:00:00;2012-01-04 00:00:00;0
"12005448";"Able Planet";"Hardware + Software ";5;2005-01-01 00:00:00;2009-08-17 00:00:00;0
"1273000";"AbleSky";"Software ";1;2007-01-01 00:00:00;2011-06-29 00:00:00;0
"510000000";"Abound Solar";"Solar ";2;2007-01-01 00:00:00;2010-07-06 00:00:00;0
"17087500";"about.me";"Identity Management ";3;2013-02-05 00:00:00;2009-12-22 00:00:00;0
"4139407";"AboutOne";"Curated Web ";5;2010-06-01 00:00:00;2011-05-01 00:00:00;0
"7618249";"AboutUs.org";"Curated Web ";3;2006-01-01 00:00:00;2008-11-26 00:00:00;0
"2100000";"Above All Software";"Software ";1;2002-01-01 00:00:00;2005-06-01 00:00:00;0
"450000";"ABOVE Solutions";"Software ";1;2008-07-01 00:00:00;2011-08-16 00:00:00;0
"960000";"ABPathfinder";"Health and Wellness ";3;2010-06-01 00:00:00;2012-12-05 00:00:00;0
"50000";"Abroad101";"Education ";1;2007-05-04 00:00:00;2010-10-21 00:00:00;0
"132500";"ABS";"Health Care ";1;2009-01-01 00:00:00;2012-09-19 00:00:00;0
"2757346";"Absio";"Software ";3;2009-03-01 00:00:00;2010-05-06 00:00:00;0
"4250000";"ABSMaterials";"Clean Technology ";2;2008-01-01 00:00:00;2010-06-24 00:00:00;0
"200000";"Absolute Commerce";"Software ";1;2012-01-01 00:00:00;2014-05-09 00:00:00;0
"28364818";"ABT Molecular Imaging";"Health Care ";10;2006-01-01 00:00:00;2009-10-06 00:00:00;0
"15000";"Acacia";"Apps ";1;2012-03-10 00:00:00;2012-05-20 00:00:00;0
"23000000";"Acacia Communications";"Web Hosting ";2;2009-01-01 00:00:00;2011-12-12 00:00:00;0
"762000";"Acacia Interactive";"Software ";1;2012-01-01 00:00:00;2013-03-29 00:00:00;0
"2338650";"Acacia Living";"Health and Wellness ";1;2010-01-01 00:00:00;2013-12-11 00:00:00;0
"244600000";"Acacia Research";"Finance ";2;1992-01-01 00:00:00;2005-02-10 00:00:00;0
"17800000";"Academia.edu";"Social Media ";4;2008-09-01 00:00:00;2007-11-02 00:00:00;0
"10000000";"AcademixDirect";"Advertising ";1;2004-01-01 00:00:00;2009-01-01 00:00:00;0
"4000000";"AcadiaSoft";"Finance ";1;2009-01-01 00:00:00;2010-01-08 00:00:00;0
"25478613";"Acccess Technology Solutions";"E-Commerce ";1;2002-01-01 00:00:00;2014-08-20 00:00:00;0
"50000000";"Accela";"Software ";2;1999-01-01 00:00:00;2012-01-01 00:00:00;0
"430000";"Accelalox";"Biotechnology ";1;2005-01-01 00:00:00;2009-10-10 00:00:00;0
"63016244";"Accelerate Diagnostics";"Medical Devices ";4;2004-01-01 00:00:00;2010-03-23 00:00:00;0
"150000";"Accelerate Mobile Apps";"Mobile ";1;2009-01-01 00:00:00;2009-12-24 00:00:00;0
"3255325";"Accelerated IO";"Software ";2;1997-01-01 00:00:00;2009-11-05 00:00:00;0
"8500000";"Accelerated Vision Group";"Analytics ";2;2011-01-01 00:00:00;2012-05-21 00:00:00;0
"4045500";"Accelerize New Media";"Enterprise Software ";3;2005-01-01 00:00:00;2010-05-10 00:00:00;0
"113701127";"Acceleron Pharma";"Biotechnology ";6;2004-01-01 00:00:00;2006-08-02 00:00:00;0
"457282";"AccelGolf";"Finance ";7;2008-08-01 00:00:00;2008-01-01 00:00:00;1
"5705841";"Accelitec";"Software ";3;2001-01-01 00:00:00;2009-05-15 00:00:00;0
"13410901";"Accellion";"Enterprise Software ";2;1999-01-01 00:00:00;2012-01-04 00:00:00;0
"28500000";"Accellos";"Transportation ";2;2006-01-01 00:00:00;2008-09-30 00:00:00;0
"25000000";"AccelOps";"Cloud Management ";2;2007-01-01 00:00:00;2007-10-01 00:00:00;0
"4000000";"Accendo Therapeutics";"Health and Wellness ";1;2010-01-01 00:00:00;2011-12-29 00:00:00;0
"775000";"Accentia Biopharmaceuticals Inc";"Health and Wellness ";2;2002-01-01 00:00:00;2012-02-08 00:00:00;0
"1500000";"Accenx Technologies";"Software ";1;1997-01-01 00:00:00;2009-02-27 00:00:00;0
"25305000";"Accept Software";"Career Management ";4;2002-01-01 00:00:00;2005-09-16 00:00:00;0
"3020000";"Acceptd";"Software ";3;2011-01-01 00:00:00;2011-06-01 00:00:00;0
"138581610";"Accera";"Biotechnology ";5;2001-01-01 00:00:00;2004-09-16 00:00:00;0
"7131124";"Accertify";"Security ";3;2007-03-01 00:00:00;2008-06-03 00:00:00;0
"13793098";"Access Closure";"Health Care ";3;2002-01-01 00:00:00;2010-03-03 00:00:00;0
"30000000";"Access Media 3";"Security ";1;2007-01-01 00:00:00;2012-02-09 00:00:00;0
"46900000";"Access MediQuip";"Health Care ";1;1997-01-01 00:00:00;2013-01-13 00:00:00;0
"352500";"Access Mobile";"Mobile ";2;2010-01-01 00:00:00;2013-06-26 00:00:00;0
"3200000";"Access Network";"Advertising ";2;2008-01-01 00:00:00;2010-04-01 00:00:00;0
"1999998";"Access Northeast";"Services ";1;1999-01-01 00:00:00;2009-11-23 00:00:00;0
"250000";"Access Psychiatry Solutions";"Biotechnology ";1;2011-01-01 00:00:00;2011-05-20 00:00:00;0
"21376001";"Access Scientific";"Health Care ";6;2004-01-01 00:00:00;2009-10-06 00:00:00;0
"20000000";"AccessSportsMedia.com";"Sales and Marketing ";2;2003-01-01 00:00:00;2008-10-29 00:00:00;0
"2800000";"Accion Texas";"Nonprofits ";1;1994-01-01 00:00:00;2013-09-25 00:00:00;0
"4979639";"Accipiter Systems";"Analytics ";4;2002-01-01 00:00:00;2012-02-29 00:00:00;0
"90000";"Acclaimd";"Recruiting ";2;2012-02-01 00:00:00;2012-06-01 00:00:00;0
"33331814";"ACCO Semiconductor";"Semiconductors ";3;1994-01-01 00:00:00;2010-09-15 00:00:00;0
"53744444";"Accolade";"Healthcare Services ";4;2007-01-01 00:00:00;2010-01-21 00:00:00;0
"20600000";"Accompani";"3D ";2;2013-01-01 00:00:00;2014-06-16 00:00:00;0
"1200000";"Accord Biomaterials";"Biotechnology ";1;2008-01-01 00:00:00;2010-10-21 00:00:00;0
"34072000";"AccountNow";"Finance ";4;2003-01-01 00:00:00;2004-08-09 00:00:00;0
"32000000";"Accruent";"Enterprise Software ";2;1995-01-01 00:00:00;2010-02-04 00:00:00;0
"3315000";"Accruit";"Software ";1;2000-01-01 00:00:00;2008-07-03 00:00:00;0
"1000000";"Accu-Break Pharmaceuticals";"Biotechnology ";1;2001-01-01 00:00:00;2013-05-21 00:00:00;0
"12024769";"Accudial Pharmaceutical";"Biotechnology ";3;2010-01-01 00:00:00;2010-05-27 00:00:00;0
"650000";"AccuDraft";"Software ";1;1992-01-01 00:00:00;2006-12-06 00:00:00;0
"760000";"Accuhealth Partners";"Health and Wellness ";1;2011-01-01 00:00:00;2011-02-21 00:00:00;0
"110640466";"Accumetrics";"Biotechnology ";9;1996-01-01 00:00:00;2003-05-16 00:00:00;0
"2500000";"Accuradio";"Internet Radio Market ";1;2001-04-01 00:00:00;2014-09-05 00:00:00;0
"4277507";"Accurence";"Software ";2;2005-01-01 00:00:00;2011-11-08 00:00:00;0
"2100000";"AccuRev";"Software ";1;1998-01-01 00:00:00;2005-03-07 00:00:00;0
"8198838";"Accuvant";"Security ";4;2002-01-01 00:00:00;2008-07-01 00:00:00;0
"30500000";"AccuVein";"Hardware + Software ";2;2006-01-01 00:00:00;2011-07-28 00:00:00;0
"1245092";"ACE";"Medical ";3;2006-01-01 00:00:00;2010-05-17 00:00:00;0
"18700000";"Ace Metrix";"Advertising ";5;2007-01-01 00:00:00;2008-08-01 00:00:00;0
"75000";"ACE Portal";"Marketplaces ";1;2010-01-01 00:00:00;2011-04-01 00:00:00;0
"8700000";"ACell";"Health and Wellness ";1;1999-01-01 00:00:00;2011-04-26 00:00:00;0
"600000";"Acera Surgical";"Health Care ";1;2013-01-01 00:00:00;2013-08-08 00:00:00;0
"737630";"Acertiv";"Finance ";2;2011-04-20 00:00:00;2012-10-08 00:00:00;0
"3638201";"Acesis";"Software ";1;2006-01-01 00:00:00;2010-04-30 00:00:00;0
"151250000";"Acetylon Pharmaceuticals";"Biotechnology ";6;2008-01-01 00:00:00;2009-08-01 00:00:00;0
"5280000";"Aceva Technologies";"Enterprise Software ";1;1999-01-01 00:00:00;2005-07-21 00:00:00;0
"100905707";"Achaogen";"Health Care ";3;2004-01-01 00:00:00;2006-10-10 00:00:00;0
"66500000";"Achates Power";"Clean Technology ";3;2004-01-01 00:00:00;2009-10-08 00:00:00;0
"150000";"Achieve X";"Software ";1;2008-01-01 00:00:00;2010-05-10 00:00:00;0
"9000000";"Achieve3000";"Software ";1;2000-01-01 00:00:00;2007-07-24 00:00:00;0
"3600000";"AchieveIt Online";"Enterprise Software ";3;2010-01-01 00:00:00;2012-08-28 00:00:00;0
"49122326";"Achievers";"Incentives ";4;1995-01-01 00:00:00;2008-07-31 00:00:00;0
"50100000";"Achillion Pharmaceuticals";"Health Care ";1;1998-01-01 00:00:00;2010-08-18 00:00:00;0
"135776263";"Achronix Semiconductor";"Semiconductors ";5;2004-01-01 00:00:00;2007-01-23 00:00:00;0
"1250000";"Achvr";"Gamification ";1;2011-10-14 00:00:00;2013-10-09 00:00:00;0
"1400000";"ACKme Networks";"Internet of Things ";1;2013-01-01 00:00:00;2014-01-14 00:00:00;0
"7300000";"Acompli";"Android ";1;2013-01-01 00:00:00;2013-06-04 00:00:00;0
"20000000";"Acopia Networks";"Software ";1;2002-01-01 00:00:00;2006-06-19 00:00:00;0
"8960000";"Acorns";"Apps ";3;2012-02-29 00:00:00;2012-06-01 00:00:00;0
"7974296";"Acoustic Technologies";"Software ";1;1998-01-01 00:00:00;2013-04-12 00:00:00;0
"15000000";"Acousticeye";"Clean Technology ";4;2006-01-01 00:00:00;2010-11-03 00:00:00;0
"40000";"Acquaintable";"Curated Web ";1;2012-01-01 00:00:00;2013-01-07 00:00:00;0
"118500000";"Acquia";"Enterprise Software ";7;2007-05-01 00:00:00;2007-12-01 00:00:00;0
"20000000";"Acrisure";"Finance ";1;2006-01-01 00:00:00;2010-01-29 00:00:00;0
"20292075";"Across America Financial Services";"Finance ";1;2005-01-01 00:00:00;2009-04-07 00:00:00;0
"6000000";"Acsis";"Enterprise Software ";1;1996-01-01 00:00:00;2006-08-14 00:00:00;0
"26980000";"ACT Biotech";"Biotechnology ";6;2008-01-01 00:00:00;2008-05-06 00:00:00;0
"72500000";"Act-On Software";"Marketing Automation ";5;2008-01-01 00:00:00;2010-08-27 00:00:00;0
"22123893";"ActBlue";"Clean Technology ";1;2004-01-01 00:00:00;2010-08-01 00:00:00;0
"57616859";"Actelis Networks";"Internet ";6;1998-01-01 00:00:00;2007-01-01 00:00:00;0
"15600000";"Actiance";"Software ";1;1998-01-01 00:00:00;2007-09-11 00:00:00;0
"137500";"Actifi";"Consulting ";1;2003-01-01 00:00:00;2011-08-25 00:00:00;0
"207500000";"Actifio";"Enterprise Software ";5;2009-07-01 00:00:00;2010-07-21 00:00:00;0
"7000720";"Actinium Pharmaceuticals";"Biotechnology ";2;2000-01-01 00:00:00;2011-11-03 00:00:00;0
"600000";"Actinobac Biomed";"Biotechnology ";2;2009-01-01 00:00:00;2009-03-20 00:00:00;0
"58200000";"Action Engine";"Mobile ";5;2000-02-01 00:00:00;2000-05-01 00:00:00;0
"100000";"Action Online Publishing";"Collectibles ";2;2010-01-01 00:00:00;2011-09-01 00:00:00;0
"1510005";"ActionRun";"Software ";1;2008-01-01 00:00:00;2011-02-25 00:00:00;0
"6000000";"ActionX";"Mobile ";2;2012-01-01 00:00:00;2012-09-16 00:00:00;0
"25000000";"ACTIV Financial Systems";"Software ";1;2002-01-01 00:00:00;2010-01-20 00:00:00;0
"40000";"Activ Technologies";"Software ";1;2006-01-01 00:00:00;2012-09-26 00:00:00;0
