"funding_total_usd ";"name";"market ";"status";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"500000";"312 Capital";"Finance ";"operating";1;2013-01-23 00:00:00;2014-09-16 00:00:00;0
"25654560";"33Across";"Advertising ";"operating";5;2007-09-01 00:00:00;2009-02-06 00:00:00;0
"17800000";"360fly, Inc.";"Consumer Electronics ";"operating";1;1998-01-01 00:00:00;2014-08-11 00:00:00;0
"1000000";"360imaging";"Biotechnology ";"operating";2;2005-01-01 00:00:00;2011-11-01 00:00:00;0
"16000000";"365 Data Centers";"Services ";"operating";1;2012-01-01 00:00:00;2014-09-10 00:00:00;0
"25000";"37coins";"Bitcoin ";"operating";1;2014-01-01 00:00:00;2014-03-15 00:00:00;0
"1600000";"382 Communications";"Mobile ";"operating";1;2010-01-01 00:00:00;2012-01-13 00:00:00;0
"500000";"3ClickEMR Corporation";"Electronic Health Records ";"closed";2;2010-06-23 00:00:00;2010-06-23 00:00:00;1
"5740000";"3CLogic";"Customer Service ";"operating";2;2005-01-01 00:00:00;2013-01-14 00:00:00;0
"1465000";"3D Biomatrix";"Biotechnology ";"operating";1;2010-01-01 00:00:00;2013-02-05 00:00:00;0
"28000";"3D Control Systems";"Enterprise Software ";"operating";1;2013-03-01 00:00:00;2013-11-10 00:00:00;0
"503000";"3D FUTURE VISION II";"Games ";"closed";2;2011-01-01 00:00:00;2011-06-22 00:00:00;1
"1200000";"3D Industri.es";"3D ";"operating";2;2011-01-01 00:00:00;2012-03-01 00:00:00;0
"35000000";"3D Robotics";"Drones ";"operating";3;2009-01-01 00:00:00;2012-11-05 00:00:00;0
"909940";"3D Sports Technology";"Software ";"operating";3;2010-01-01 00:00:00;2011-01-21 00:00:00;0
"150000";"3d Vision Systems";"Hardware + Software ";"operating";1;2009-01-01 00:00:00;2012-12-03 00:00:00;0
"400000";"3DBin";"E-Commerce ";"operating";1;2009-02-06 00:00:00;2014-10-12 00:00:00;0
"1250000";"3dCart Shopping Cart Software";"E-Commerce ";"operating";1;1997-05-01 00:00:00;2010-01-01 00:00:00;0
"750000";"3FLOZ";"Health and Wellness ";"operating";1;2009-11-01 00:00:00;2013-08-16 00:00:00;0
"20000000";"3Guppies";"Music ";"operating";1;2003-01-01 00:00:00;2006-04-05 00:00:00;0
"4000000";"3Jam";"Messaging ";"operating";1;2005-01-01 00:00:00;2007-07-01 00:00:00;0
"65000000";"3Leaf";"Web Hosting ";"acquired";3;2004-06-01 00:00:00;2005-01-01 00:00:00;0
"25920000";"3Pillar Global";"Software ";"operating";4;2006-08-01 00:00:00;2010-01-29 00:00:00;0
"1011601";"3Play Media";"Software ";"operating";3;2007-01-01 00:00:00;2010-02-08 00:00:00;0
"390000";"3Scan";"Biotechnology ";"operating";3;2011-01-01 00:00:00;2011-08-31 00:00:00;0
"2000000";"3seventy";"Software ";"operating";1;2008-01-01 00:00:00;2011-08-19 00:00:00;0
"1000000";"3TEN8";"Software ";"operating";1;2013-08-15 00:00:00;2014-09-01 00:00:00;0
"15000000";"3TIER";"Clean Technology ";"acquired";3;1999-01-01 00:00:00;2007-09-05 00:00:00;0
"56567194";"3VR";"Security ";"operating";6;2002-01-01 00:00:00;2006-01-17 00:00:00;0
"3393925";"3X Systems";"Flash Storage ";"operating";2;2007-11-01 00:00:00;2008-02-20 00:00:00;0
"2234979";"4-Tell";"E-Commerce ";"operating";5;2009-04-01 00:00:00;2011-07-01 00:00:00;0
"81000";"405Labs";"Machine Learning ";"operating";1;2014-01-01 00:00:00;2014-10-22 00:00:00;0
"1050000";"40billion.com";"Entrepreneur ";"operating";3;2008-01-23 00:00:00;2008-04-01 00:00:00;0
"750000";"410 Labs";"Messaging ";"operating";1;2010-01-01 00:00:00;2011-07-11 00:00:00;0
"38064570";"41st Parameter";"Security ";"acquired";4;2004-01-01 00:00:00;2006-05-08 00:00:00;0
"800000";"42";"Enterprise Software ";"operating";2;2013-01-01 00:00:00;2013-02-21 00:00:00;0
"1000000";"422 Group";"Software ";"operating";1;2004-01-01 00:00:00;2010-06-15 00:00:00;0
"17400000";"42Floors";"Commercial Real Estate ";"operating";4;2011-01-01 00:00:00;2011-09-01 00:00:00;0
"37956999";"480 Biomedical";"Biotechnology ";"operating";3;2011-01-01 00:00:00;2012-02-14 00:00:00;0
"20900";"4Cable TV";"Clean Technology ";"operating";1;2005-01-01 00:00:00;2013-10-07 00:00:00;0
"3378975";"4DK Technologies";"Mobile ";"operating";1;2005-01-01 00:00:00;2011-12-12 00:00:00;0
"9416354";"4Home";"Cloud Computing ";"acquired";6;2006-01-01 00:00:00;2006-08-01 00:00:00;0
"70288000";"4INFO";"Advertising ";"operating";8;2004-01-01 00:00:00;2005-03-01 00:00:00;0
"60000000";"4moms";"Hardware + Software ";"operating";4;2005-01-01 00:00:00;2005-06-17 00:00:00;0
"50000";"4Soils";"Kids ";"operating";1;2012-01-01 00:00:00;2013-08-26 00:00:00;0
"7000000";"4Tech";"Biotechnology ";"operating";1;2011-01-01 00:00:00;2011-12-21 00:00:00;0
"250000";"5 examples";"Software ";"operating";1;2004-01-01 00:00:00;2010-07-14 00:00:00;0
"440000";"5 O'Clock Records";"Software ";"operating";2;2012-01-01 00:00:00;2012-03-29 00:00:00;0
"180000";"5 Star Mobile";"Consumer Electronics ";"operating";1;2013-07-23 00:00:00;2014-02-20 00:00:00;0
